"ID","COST_FT1","COST_FT2","COST_FT3","COST_FT4","COST_FT5","COST_FT6","COST_FT7","COST_FT8","COST_FT9","COST_FT10","COST_FT11","COST_FT12","COST_FT2_S","COST_FT3_S","COST_FT4_S","COST_FT5_S","COST_FT8_S","COST_FT9_S","COST_FT10_S","COST_FT1_S","COST_FT6_S","COST_FT7_S","COST_FT11_S","COST_N_ITEMS_ANSWERED","COST_ITEM_SUM","COST_GP_TOTAL","COST_PRORATED","COST_MISSING"
425,3,2,4,2,1,1,3,1,1,4,1,2,2,0,2,3,3,3,0,3,1,3,1,11,21,21,FALSE,FALSE
426,1,2,3,1,2,4,3,4,2,4,0,1,2,1,3,2,0,2,0,1,4,3,0,11,18,18,FALSE,FALSE
427,4,1,1,0,3,1,3,2,4,4,0,1,3,3,4,1,2,0,0,4,1,3,0,11,21,21,FALSE,FALSE
428,3,3,0,0,2,0,1,1,2,1,2,2,1,4,4,2,3,2,3,3,0,1,2,11,25,25,FALSE,FALSE
429,3,3,0,4,4,4,3,2,2,0,3,4,1,4,0,0,2,2,4,3,4,3,3,11,26,26,FALSE,FALSE
430,0,2,4,0,2,4,2,3,2,1,1,4,2,0,4,2,1,2,3,0,4,2,1,11,21,21,FALSE,FALSE
431,3,3,3,0,3,2,4,0,2,0,4,4,1,1,4,1,4,2,4,3,2,4,4,11,30,30,FALSE,FALSE
432,3,4,1,2,0,4,2,0,0,1,1,3,0,3,2,4,4,4,3,3,4,2,1,11,30,30,FALSE,FALSE
433,2,4,1,4,2,1,0,2,3,3,1,2,0,3,0,2,2,1,1,2,1,0,1,11,13,13,FALSE,FALSE
434,0,1,4,2,3,2,0,1,3,2,0,0,3,0,2,1,3,1,2,0,2,0,0,11,14,14,FALSE,FALSE
435,1,2,1,4,3,2,1,2,0,0,4,4,2,3,0,1,2,4,4,1,2,1,4,11,24,24,FALSE,FALSE
436,0,1,2,4,4,0,2,4,2,3,3,1,3,2,0,0,0,2,1,0,0,2,3,11,13,13,FALSE,FALSE
437,3,2,2,4,4,3,4,0,2,0,3,0,2,2,0,0,4,2,4,3,3,4,3,11,27,27,FALSE,FALSE
438,0,1,4,1,1,0,2,2,0,3,0,4,3,0,3,3,2,4,1,0,0,2,0,11,18,18,FALSE,FALSE
439,4,2,2,4,3,4,3,2,1,0,4,3,2,2,0,1,2,3,4,4,4,3,4,11,29,29,FALSE,FALSE
440,1,0,0,0,4,2,2,1,1,1,1,0,4,4,4,0,3,3,3,1,2,2,1,11,27,27,FALSE,FALSE
441,1,4,1,1,4,1,0,4,1,2,2,3,0,3,3,0,0,3,2,1,1,0,2,11,15,15,FALSE,FALSE
442,3,2,0,0,1,4,4,1,3,4,3,3,2,4,4,3,3,1,0,3,4,4,3,11,31,31,FALSE,FALSE
443,4,1,2,0,4,4,4,3,1,0,1,4,3,2,4,0,1,3,4,4,4,4,1,11,30,30,FALSE,FALSE
444,4,2,2,3,4,3,0,0,4,2,1,0,2,2,1,0,4,0,2,4,3,0,1,11,19,19,FALSE,FALSE
445,2,4,3,0,0,1,1,1,3,3,0,1,0,1,4,4,3,1,1,2,1,1,0,11,18,18,FALSE,FALSE
446,1,2,3,0,2,4,1,3,1,2,3,3,2,1,4,2,1,3,2,1,4,1,3,11,24,24,FALSE,FALSE
447,4,2,4,4,1,2,0,1,0,0,1,3,2,0,0,3,3,4,4,4,2,0,1,11,23,23,FALSE,FALSE
448,4,1,0,2,3,1,0,0,0,1,0,2,3,4,2,1,4,4,3,4,1,0,0,11,26,26,FALSE,FALSE
449,3,2,3,2,2,4,0,2,2,0,1,0,2,1,2,2,2,2,4,3,4,0,1,11,23,23,FALSE,FALSE
450,1,1,0,2,0,1,4,1,0,4,0,2,3,4,2,4,3,4,0,1,1,4,0,11,26,26,FALSE,FALSE
451,3,2,4,4,4,1,2,0,3,0,3,1,2,0,0,0,4,1,4,3,1,2,3,11,20,20,FALSE,FALSE
452,0,1,4,1,1,2,3,2,4,3,0,4,3,0,3,3,2,0,1,0,2,3,0,11,17,17,FALSE,FALSE
453,4,1,2,1,3,0,4,4,1,2,1,1,3,2,3,1,0,3,2,4,0,4,1,11,23,23,FALSE,FALSE
454,2,1,2,4,1,3,1,0,3,0,1,2,3,2,0,3,4,1,4,2,3,1,1,11,24,24,FALSE,FALSE
455,0,4,3,3,4,0,4,4,2,3,0,0,0,1,1,0,0,2,1,0,0,4,0,11,9,9,FALSE,FALSE
456,1,4,3,0,4,3,1,3,4,2,4,0,0,1,4,0,1,0,2,1,3,1,4,11,17,17,FALSE,FALSE
457,2,2,4,1,0,0,0,2,2,4,1,1,2,0,3,4,2,2,0,2,0,0,1,11,16,16,FALSE,FALSE
458,3,4,4,2,1,2,2,4,4,0,0,1,0,0,2,3,0,0,4,3,2,2,0,11,16,16,FALSE,FALSE
459,4,0,3,2,2,3,0,1,0,4,3,4,4,1,2,2,3,4,0,4,3,0,3,11,26,26,FALSE,FALSE
460,2,4,3,3,4,4,2,3,4,2,4,1,0,1,1,0,1,0,2,2,4,2,4,11,17,17,FALSE,FALSE
461,0,3,2,4,4,4,4,0,4,4,3,3,1,2,0,0,4,0,0,0,4,4,3,11,18,18,FALSE,FALSE
462,1,1,2,2,4,1,4,2,2,4,1,3,3,2,2,0,2,2,0,1,1,4,1,11,18,18,FALSE,FALSE
463,4,2,2,3,4,3,2,4,4,2,0,4,2,2,1,0,0,0,2,4,3,2,0,11,16,16,FALSE,FALSE
464,0,4,4,1,1,3,0,4,4,3,0,0,0,0,3,3,0,0,1,0,3,0,0,11,10,10,FALSE,FALSE
465,4,4,1,0,2,2,4,0,0,4,0,0,0,3,4,2,4,4,0,4,2,4,0,11,27,27,FALSE,FALSE
466,1,3,1,1,3,0,3,1,4,3,4,1,1,3,3,1,3,0,1,1,0,3,4,11,20,20,FALSE,FALSE
467,2,3,4,3,4,3,2,3,3,2,3,2,1,0,1,0,1,1,2,2,3,2,3,11,16,16,FALSE,FALSE
468,2,1,4,1,2,0,1,2,1,2,0,4,3,0,3,2,2,3,2,2,0,1,0,11,18,18,FALSE,FALSE
469,3,3,4,2,1,4,1,1,4,0,1,4,1,0,2,3,3,0,4,3,4,1,1,11,22,22,FALSE,FALSE
470,3,3,0,4,3,2,2,0,3,3,1,0,1,4,0,1,4,1,1,3,2,2,1,11,20,20,FALSE,FALSE
471,4,4,4,2,0,0,4,1,1,1,3,0,0,0,2,4,3,3,3,4,0,4,3,11,26,26,FALSE,FALSE
472,1,3,3,3,1,3,4,3,2,4,0,1,1,1,1,3,1,2,0,1,3,4,0,11,17,17,FALSE,FALSE
473,0,0,4,1,3,0,1,3,0,0,4,4,4,0,3,1,1,4,4,0,0,1,4,11,22,22,FALSE,FALSE
474,3,3,4,4,3,0,4,1,0,0,2,2,1,0,0,1,3,4,4,3,0,4,2,11,22,22,FALSE,FALSE
475,0,2,1,0,0,0,2,3,3,1,2,1,2,3,4,4,1,1,3,0,0,2,2,11,22,22,FALSE,FALSE
476,3,4,3,4,2,0,2,2,4,0,2,2,0,1,0,2,2,0,4,3,0,2,2,11,16,16,FALSE,FALSE
477,3,1,0,0,2,4,2,3,2,1,0,4,3,4,4,2,1,2,3,3,4,2,0,11,28,28,FALSE,FALSE
478,4,1,2,2,1,0,4,0,0,4,0,3,3,2,2,3,4,4,0,4,0,4,0,11,26,26,FALSE,FALSE
479,0,2,2,1,0,1,3,0,0,3,0,2,2,2,3,4,4,4,1,0,1,3,0,11,24,24,FALSE,FALSE
480,3,3,1,0,0,1,1,3,2,2,0,3,1,3,4,4,1,2,2,3,1,1,0,11,22,22,FALSE,FALSE
481,3,2,1,4,0,2,0,1,1,0,1,1,2,3,0,4,3,3,4,3,2,0,1,11,25,25,FALSE,FALSE
482,4,4,0,4,3,4,2,2,4,4,3,0,0,4,0,1,2,0,0,4,4,2,3,11,20,20,FALSE,FALSE
483,4,1,3,4,1,3,3,1,3,1,3,3,3,1,0,3,3,1,3,4,3,3,3,11,27,27,FALSE,FALSE
484,1,0,1,4,3,0,0,2,1,0,3,1,4,3,0,1,2,3,4,1,0,0,3,11,21,21,FALSE,FALSE
485,1,3,3,3,2,2,4,2,0,2,0,0,1,1,1,2,2,4,2,1,2,4,0,11,20,20,FALSE,FALSE
486,2,0,0,3,1,1,0,1,3,1,3,1,4,4,1,3,3,1,3,2,1,0,3,11,25,25,FALSE,FALSE
487,2,3,0,4,4,3,4,2,4,3,0,4,1,4,0,0,2,0,1,2,3,4,0,11,17,17,FALSE,FALSE
488,0,3,1,1,1,2,2,1,3,1,2,1,1,3,3,3,3,1,3,0,2,2,2,11,23,23,FALSE,FALSE
489,3,0,4,1,0,1,2,0,4,2,3,2,4,0,3,4,4,0,2,3,1,2,3,11,26,26,FALSE,FALSE
490,3,0,4,0,1,2,2,4,2,1,2,3,4,0,4,3,0,2,3,3,2,2,2,11,25,25,FALSE,FALSE
491,4,0,4,3,1,3,1,3,3,4,2,3,4,0,1,3,1,1,0,4,3,1,2,11,20,20,FALSE,FALSE
492,0,1,1,1,4,4,3,2,0,4,2,2,3,3,3,0,2,4,0,0,4,3,2,11,24,24,FALSE,FALSE
493,4,3,4,0,1,4,0,3,2,2,1,3,1,0,4,3,1,2,2,4,4,0,1,11,22,22,FALSE,FALSE
494,4,4,4,0,4,0,0,4,2,1,0,1,0,0,4,0,0,2,3,4,0,0,0,11,13,13,FALSE,FALSE
495,4,1,3,1,1,0,4,4,3,3,2,1,3,1,3,3,0,1,1,4,0,4,2,11,22,22,FALSE,FALSE
496,2,2,0,0,4,4,1,1,0,1,4,2,2,4,4,0,3,4,3,2,4,1,4,11,31,31,FALSE,FALSE
497,3,2,1,0,4,2,2,1,0,0,3,3,2,3,4,0,3,4,4,3,2,2,3,11,30,30,FALSE,FALSE
498,2,3,1,1,2,3,3,0,0,4,1,1,1,3,3,2,4,4,0,2,3,3,1,11,26,26,FALSE,FALSE
499,1,2,1,2,1,3,2,1,3,0,0,3,2,3,2,3,3,1,4,1,3,2,0,11,24,24,FALSE,FALSE
500,1,2,2,4,0,2,0,2,3,3,0,0,2,2,0,4,2,1,1,1,2,0,0,11,15,15,FALSE,FALSE
